experiment;time;co2_ambient_mean;co2_increased_mean;co2_ambient_n;co2_increased_n
ArizonaFACE - wheat - high N;0;1344;1228;4;4
ArizonaFACE - wheat - high N;0.5;1363;1305;4;4
ArizonaFACE - wheat - high N;1;1254;1264;4;4
ArizonaFACE - wheat - high N;1.5;1258;1400;4;4
Biosphere 2;0;5950;6362;1;1
Biosphere 2;1;5254;4735;1;1
Biosphere 2;2;6084;4785;1;1
Biosphere 2;3;5470;4064;1;1
Biosphere 2;4;5335;4220;1;1
China FACE - low N;3.66;1937;2192;3;3
China FACE - low N;4;1937;2123;3;3
China FACE - high N;3.66;1926;2135;3;3
China FACE - high N;4;1937;2105;3;3
China OTC - low N;0.33;1103;1168;2;3
China OTC - low N;0.67;1036;1097;2;3
China OTC - low N;1;1936;2385;2;3
China OTC - low N;1.33;2319;2218;2;3
China OTC - low N;1.66;2060;2051;2;3
China OTC - low N;2;2431;2301;2;3
China OTC - low N;2.33;2263;2361;2;3
China OTC - low N;2.66;2116;2158;2;3
China OTC - low N;3;3625;3315;2;3
China OTC - low N;3.33;3253;3279;2;3
China OTC - low N;3.66;3287;3410;2;3
China OTC - high N;0.33;1201;1198;2;3
China OTC - high N;0.67;922;1409;2;3
China OTC - high N;1;1930;2373;2;3
China OTC - high N;1.33;1951;2514;2;3
China OTC - high N;1.66;1587;3054;2;3
China OTC - high N;2;2015;3030;2;3
China OTC - high N;2.33;2273;2725;2;3
China OTC - high N;2.66;2187;2702;2;3
China OTC - high N;3;3602;3947;2;3
China OTC - high N;3.33;3581;4170;2;3
China OTC - high N;3.66;3645;4158;2;3
FACTS I;0;1977;2142;3;3
FACTS I;3.17;1902;2208;3;3
FACTS I;6;2407;2734;3;3
FACTS I;9;2164;2096;3;3
FACTS II - Aspen;4;3575;3562;3;3
FACTS II - Aspen;6;3625;4435;3;3
FACTS II - Aspen;7;3235;3243;3;3
FACTS II - Aspen;8;3741;3506;3;3
FACTS II - Aspen;9;4243;3841;3;3
FACTS II - Aspen;10;4374;3760;3;3
FACTS II - Aspen;11;5119;3267;3;3
FACTS II - Aspen (+O3);4;3193;3199;3;3
FACTS II - Aspen (+O3);6;3081;3433;3;3
FACTS II - Aspen (+O3);7;3418;2804;3;3
FACTS II - Aspen (+O3);8;3886;2890;3;3
FACTS II - Aspen (+O3);9;4073;3444;3;3
FACTS II - Aspen (+O3);10;4382;3268;3;3
FACTS II - Aspen (+O3);11;4783;3141;3;3
FACTS II - Aspen/Birch;4;3256;3817;3;3
FACTS II - Aspen/Birch;6;3347;3274;3;3
FACTS II - Aspen/Birch;7;3408;3457;3;3
FACTS II - Aspen/Birch;8;3653;3436;3;3
FACTS II - Aspen/Birch;9;4433;4196;3;3
FACTS II - Aspen/Birch;10;4125;3832;3;3
FACTS II - Aspen/Birch;11;3484;3946;3;3
FACTS II - Aspen/Birch (+O3);4;3305;3121;3;3
FACTS II - Aspen/Birch (+O3);6;4105;3798;3;3
